,Leader,Leader Unison,Main 2,Unison 2,Main 3,Unison 3,L Weapon,L Soul,2 Weapon,2 Soul,3 Weapon,3 Soul,L4,L5,L6,LU4,LU5,LU6,24,25,26,2U4,2U5,2U6,34,35,36,3U4,3U5,3U6,URL,Date
11,Telluna,NYMew,Fuku,Sha Suzu,Teo,NYClaw,Violet Storm,Violet Storm,Arolandnemo,Arolandnemo,Ancestral Claw,Arolandnemo,6,6,6,0,0,0,0,0,0,6,6,6,6,6,6,0,0,0,"https://eliya-bot.herokuapp.com/comp/electro_girl-cat_fighter_ny20-warashi-student_gunsmith-lion_boy-outlaw_panther_ny22-sword_0044_storyevent-sword_0044_storyevent-acce_0047-acce_0047-fist_0019_boss_unique-acce_0047@555,---,---,555,555,---.png",2023-04-02 18:47:00
12,MPhiria,SShota,Silence Suzuka,HMelmyna,Kohane,Estariel,Acid Sky,Aeolian Bow,Épée Rafale,Aeolian Bow,Death's Tomb,Aeolian Bow,0,0,0,6,6,6,0,0,0,0,0,0,1,6,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/wind_oracle_meteor23-psychic_shouta_smr22-silence_suzuka-sanctuary_guard_hw21-tengu_girl-elf_princess-sword_0064_raid-bow_0009-sword_0068_coop-bow_0009-book_0016_boss_unique-bow_0009@---,555,---,---,05-,---.png",2023-04-02 18:30:00
13,MPhiria,SShota,Manoka,Rolf,Kohane,Sha Suzu,Liberator,Woodsprite Greatsword,Woodsprite Greatsword,Woodsprite Greatsword,Death's Tomb,Woodsprite Greatsword,0,0,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/wind_oracle_meteor23-psychic_shouta_smr22-ghost_nymph-black_wolf_knight-tengu_girl-student_gunsmith-sword_0070_epuration-sword_0014-sword_0014-sword_0014-book_0016_boss_unique-sword_0014@---,555,---,---,---,---.png",2023-04-02 18:03:00
14,Manoka,Shroombo,Nevia,Jester,MPhiria,Yuno,Yata-no-Kagami,Hanihayha,Hanihayha,Hanihayha,Mistilteinn,Acid Sky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/ghost_nymph-kinoko-beast_shaman-trap_errand-wind_oracle_meteor23-yuno-acce_0014_boss_unique-gun_0018_haniwa-gun_0018_haniwa-gun_0018_haniwa-bow_0022-sword_0064_raid@---,---,---,---,---,---.png",2023-04-02 13:59:00
15,Orvelle,NYOrvelle,Razelt,XBianca,Lily Hoshikawa,Sha Suzu,Ukonvasara,Ukonvasara,Treat Wand,Treat Wand,Yata-no-Kagami,Yata-no-Kagami,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/high_priestess-high_priestess_ny22-prince_zero-lady_summoner_xm20-hoshikawa_ririi-student_gunsmith-axe_0008-axe_0008-staff_0024_raid-staff_0024_raid-acce_0014_boss_unique-acce_0014_boss_unique@---,---,---,---,---,---.png",2023-03-26 20:43:00
16,Vagner,Rolf,Marina,SMia,Clarisse,AHanabi,blank,blank,blank,blank,blank,blank,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"https://eliya-bot.herokuapp.com/comp/fire_dragon-black_wolf_knight-pirates_girl-tiger_treasure_hunter_smr20-clarisse-kunoichi_1anv-blank-blank-blank-blank-blank-blank@555,555,555,555,555,555.png",2023-03-22 22:25:00
17,Ciel,PShuilong,Farah,HRenoir,Suizen,Mizuchi,Liberator,Hunter’s Rifle,Yata-no-Kagami,Blaugandr,Blaugandr,Blaugandr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/wind_spbro_3anv-waterdragon_kunfu_proud-sand_bandit-fox_scientist_hw20-onmyoji_boy-onmyo_attendant-sword_0070_epuration-gun_0013_boss_unique-acce_0014_boss_unique-staff_0025-staff_0025-staff_0025@---,---,---,---,---,---.png",2023-03-22 21:18:00
18,Zephyr,Kohane,Nevia,Hartlief,Silence Suzuka,Jester,Hanihayha,Aeolian Bow,Death's Tomb,Aeolian Bow,Maltet,Aeolian Bow,0,0,0,1,6,1,0,0,0,6,6,6,6,6,6,1,1,1,"https://eliya-bot.herokuapp.com/comp/asymmetry_birdgirl-tengu_girl-beast_shaman-herbalist-silence_suzuka-trap_errand-gun_0018_haniwa-bow_0009-book_0016_boss_unique-bow_0009-spear_0005-bow_0009@---,050,---,555,555,000.png",2023-03-22 15:05:00
19,Ciel,Tohru,Cipher,HRenoir,Farah,XBianca,Seafang Spear,Blaugandr,Thyrsus,Blaugandr,Yata-no-Kagami,Blaugandr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/wind_spbro_3anv-psychic_tohru-ice_witch-fox_scientist_hw20-sand_bandit-lady_summoner_xm20-spear_0029_raid-staff_0025-staff_0044-staff_0025-acce_0014_boss_unique-staff_0025@---,---,---,---,---,---.png",2023-03-22 10:45:00
20,AYuwel,Bulleta,BLight,Special Week,XKikuno,Lyra,Lightcrest Crown,Laser Pilum,Hyperion Bow,Laser Pilum,Noblige,Noblige,0,0,0,6,6,6,0,0,0,0,0,0,0,0,0,6,6,6,"https://eliya-bot.herokuapp.com/comp/swallow_knight_3anv-combat_soldier-light_ballot23-special_week-compliment_oiran_xm22-neoviolin_musician-acce_0024_raid_revival-spear_0027-bow_0026_decay-spear_0027-fist_0036-fist_0036@---,555,---,---,---,555.png",2023-03-21 01:28:00
21,SBulleta,Tohru,Renoir,Beaucy,Mayuzuki,Sha Suzu,Aegaeon's Axe,Thor's Hammer,Thyrsus,Lost Tome of Archeus,Storm Trident,Lost Tome of Archeus,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"https://eliya-bot.herokuapp.com/comp/combat_soldier_smr22-psychic_tohru-fox_scientist-heavenly_two-spider_ninja-student_gunsmith-axe_0025_decay-axe_0009-staff_0044-book_0028_storyevent-spear_0025-book_0028_storyevent@---,555,555,555,555,555.png",2023-03-17 23:58:00
22,BStinel,Kikuno,Liao,Pishika,WSuizen,Marina,Infernal Axe,Hanihomura,Hanihomura,Hanihomura,Staff of the Ancient King,Hanihomura,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,0,0,0,"https://eliya-bot.herokuapp.com/comp/still_obstinator_ballot23-compliment_oiran-doctor_pirate-nurse_pirate-onmyoji_boy_wt21-pirates_girl-axe_0030-shield_0031_haniwa-shield_0031_haniwa-shield_0031_haniwa-staff_0017_boss_unique-shield_0031_haniwa@---,---,---,555,555,---.png",2023-03-17 00:01:00
23,WRolf,DSonia,VBeaucy,SShywe,Cirqueharle,Marchia,Aero Heavy Bow,Yuno's Pendant R,Harp of Orpheus,Harp of Orpheus,Aero Bomb Bag,Harp of Orpheus,0,0,0,6,6,6,0,0,0,6,6,6,0,0,0,6,6,6,"https://eliya-bot.herokuapp.com/comp/black_wolf_knight_wt23-brown_fighter_dst21-heavenly_two_vt23-bigwing_shaman_smr21-heavenly_four-marching_conductor-bow_0028_boss_unique-acce_0046_bcollab-bow_0029_decay-bow_0029_decay-acce_0023_boss_unique-bow_0029_decay@---,555,---,555,---,555.png",2023-03-16 20:22:00
24,SSera,Elmelissa,Jay,Inaho,ARegis,Tohru,Hanihagama,Ancestral Staff,Ancestral Staff,Ancestral Staff,Thor's Hammer,Thor's Hammer,6,6,6,0,0,0,6,6,6,6,6,6,6,6,6,1,1,6,"https://eliya-bot.herokuapp.com/comp/machine_police_girl_smr21-marching_rival-cat_shaman-fox_oracle-rec_android_1anv-psychic_tohru-axe_0038_haniwa-spear_0023_boss_unique-spear_0023_boss_unique-spear_0023_boss_unique-axe_0009-axe_0009@555,---,555,555,555,005.png",2023-03-16 03:34:00
25,SEclair,Rolf,AToria,NYLuluca,Quade,Noenne,Stitch the Bear,Gauntlet of the Ancient King,Rame Flamme,Spear of the Ancient King,Spear of the Ancient King,Gauntlet of the Ancient King,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,"https://eliya-bot.herokuapp.com/comp/bodysuit_trooper_smr21-black_wolf_knight-halberd_princess_2halfanv-reporter_ny20-magical_bayonetter-heavenly_one-axe_0035_boss_unique-fist_0017_boss_unique-sword_0054_coop-spear_0020_boss_unique-spear_0020_boss_unique-fist_0017_boss_unique@005,---,---,---,---,005.png",2023-03-15 02:56:00
26,HKeira,SBulleta,Beaucy,Sha Suzu,Inaho,HRenoir,Aegaeon's Axe,Smuggling Gun,Yata-no-Kagami,Lost Tome of Archeus,Hanihagama,Philebus,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,"https://eliya-bot.herokuapp.com/comp/palpebra_knight_lady_hw22-combat_soldier_smr22-heavenly_two-student_gunsmith-fox_oracle-fox_scientist_hw20-axe_0025_decay-gun_0017_storyevent-acce_0014_boss_unique-book_0028_storyevent-axe_0038_haniwa-book_0010@---,---,555,555,555,555.png",2023-03-15 01:52:00
27,VReticia,Zeta,WSuizen,XBianca,Nicola,Lilian,Halbowman,Prometheus Blade,Nevermind,Beast King's Records,Deimos' Bangle,Beast King's Records,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/tsundere_bountyhunter_vt22-zeta-onmyoji_boy_wt21-lady_summoner_xm20-sorceress_teacher-sewing_girl-axe_0042_raid-sword_0012-sword_0060_raid-book_0037_storyevent-acce_0018_decay-book_0037_storyevent@---,---,---,---,---,---.png",2023-03-14 17:38:00
28,Magnos,Zeta,AHanabi,XBianca,Nicola,Rolf,Brionac,blank,Parashu,A Treatise on War,Nevermind,Deimos' Bangle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/lion_swordman_playable-zeta-kunoichi_1anv-lady_summoner_xm20-sorceress_teacher-black_wolf_knight-spear_0033_Gcollab-blank-axe_0024-book_0004-sword_0060_raid-acce_0018_decay@---,---,---,---,---,---.png",2023-03-14 16:41:00
29,Magnos,Hanabi,Lilian,WSuizen,Nicola,XBianca,Halbowman,Prometheus Blade,Deimos' Bangle,Beast King's Records,Nevermind,Beast King's Records,0,0,0,6,6,6,6,6,0,6,6,6,6,6,6,6,6,6,"https://eliya-bot.herokuapp.com/comp/lion_swordman_playable-kunoichi-sewing_girl-onmyoji_boy_wt21-sorceress_teacher-lady_summoner_xm20-axe_0042_raid-sword_0012-acce_0018_decay-book_0037_storyevent-sword_0060_raid-book_0037_storyevent@---,555,55-,555,555,555.png",2023-03-14 02:42:00
30,AYuwel,VNate,Bulleta,Firamelia,XKikuno,Lyla,Lightcrest Crown,Trick or Claw,Haniion,Trick or Claw,Noblige,Trick or Claw,0,0,0,6,6,6,6,6,0,6,6,0,0,0,0,1,6,0,"https://eliya-bot.herokuapp.com/comp/swallow_knight_3anv-hero_girl_vt22-combat_soldier-lamp_guide-compliment_oiran_xm22-unyielding_adventurer-acce_0024_raid_revival-fist_0024_raid-acce_0025_haniwa-fist_0024_raid-fist_0036-fist_0024_raid@---,555,55-,55-,---,05-.png",2023-03-13 22:21:00
31,AVyron,Shion,XHartlief,Yukariko,Elmore,Tae,Hanikori,The Hand of Orcus,Badly Broken,The Hand of Orcus,Iwatoshi,The Hand of Orcus,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,6,6,0,"https://eliya-bot.herokuapp.com/comp/veteran_hunter_3anv-informant-herbalist_xm22-psychic_yamikawa-horn_mypace-yamada_tae-axe_0036_haniwa-fist_0009-axe_0040_raid-fist_0009-spear_0035_boss_unique-fist_0009@---,505,---,---,---,55-.png",2023-03-13 12:50:00
32,Magnos,Zeta,Rinne,Rolf,Nicola,XBianca,Halbowman,Flamewing Bow,Yata-no-Kagami,Deimos' Bangle,Deimos' Bangle,Deimos' Bangle,0,0,0,6,6,6,6,6,6,0,0,0,6,6,6,6,6,6,"https://eliya-bot.herokuapp.com/comp/lion_swordman_playable-zeta-psychic_tomboygirl-black_wolf_knight-sorceress_teacher-lady_summoner_xm20-axe_0042_raid-bow_0019_raid-acce_0014_boss_unique-acce_0018_decay-acce_0018_decay-acce_0018_decay@---,555,555,---,555,555.png",2023-03-12 00:03:00
33,Iorez,Love,Marianne,Volgia,Bryce,Rebecca,Parashu,Yata-no-Kagami,Yata-no-Kagami,Yata-no-Kagami,Nurarihyon,A Treatise on War,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/impostor_priest-touyakiren_ceo-battle_maid-formercorrupt_detective-crazy_doctor-bearish_darkwitch-axe_0024-acce_0014_boss_unique-acce_0014_boss_unique-acce_0014_boss_unique-main_chapter_orb_6-book_0004@---,---,---,---,0--,---.png",2023-03-11 17:46:00
34,Magnos,Toria,AMarina,VReticia,AHanabi,Nicola,Halbowman,Prometheus Blade,Nevermind,Beast King's Records,Deimos' Bangle,Beast King's Records,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,"https://eliya-bot.herokuapp.com/comp/lion_swordman_playable-halberd_princess-pirates_girl_2anv-tsundere_bountyhunter_vt22-kunoichi_1anv-sorceress_teacher-axe_0042_raid-sword_0012-sword_0060_raid-book_0037_storyevent-acce_0018_decay-book_0037_storyevent@---,---,555,555,555,555.png",2023-03-09 20:36:00
35,SEclair,Rolf,AToria,NYLuluca,SParfait,Noenne,Stitch the Bear,Gauntlet of the Ancient King,Rame Flamme,Gauntlet of the Ancient King,Spear of the Ancient King,Gauntlet of the Ancient King,6,6,6,6,6,6,6,6,6,1,1,1,0,0,0,6,6,6,"https://eliya-bot.herokuapp.com/comp/bodysuit_trooper_smr21-black_wolf_knight-halberd_princess_2halfanv-reporter_ny20-monster_cook_smr22-heavenly_one-axe_0035_boss_unique-fist_0017_boss_unique-sword_0054_coop-fist_0017_boss_unique-spear_0020_boss_unique-fist_0017_boss_unique@555,555,555,000,---,555.png",2023-03-08 14:54:00
36,Yae,Middy,Kokkoro,Phiria,ACeltie,Estariel,Death's Axe,Ameth Amulet,Hanihayha,Windwrath Axe,Skoll's Blade,Windwrath Axe,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"https://eliya-bot.herokuapp.com/comp/psychic_gal-steel_lacrosse-kokkoro-wind_oracle-wind_spgirl_1anv-elf_princess-axe_0018_boss_unique-acce_0005_PCollab-gun_0018_haniwa-axe_0026_raid-sword_0033_decay-axe_0026_raid@---,555,555,555,555,555.png",2023-03-08 01:52:00
37,AVyron,SAlice,XHartlief,Shion,Elmore,Liam,Hanikori,The Hand of Orcus,Iwatoshi,A Treatise on War,Badly Broken,Iwatoshi,0,0,0,6,6,6,0,0,0,6,0,0,0,0,0,6,0,0,"https://eliya-bot.herokuapp.com/comp/veteran_hunter_3anv-alice_smr20-herbalist_xm22-informant-horn_mypace-warlock-axe_0036_haniwa-fist_0009-spear_0035_boss_unique-book_0004-axe_0040_raid-spear_0035_boss_unique@---,555,---,5--,---,5--.png",2023-03-07 15:56:00
38,Magnos,Kannon,Misogi,Bianca,AToria,XBianca,Halbowman,Flamewing Bow,Deimos' Bangle,Deimos' Bangle,Nevermind,Flamewing Bow,0,0,0,6,6,6,6,6,6,6,0,0,0,0,0,6,6,6,"https://eliya-bot.herokuapp.com/comp/lion_swordman_playable-red_gunner-misogi-lady_summoner-halberd_princess_2halfanv-lady_summoner_xm20-axe_0042_raid-bow_0019_raid-acce_0018_decay-acce_0018_decay-sword_0060_raid-bow_0019_raid@---,555,555,5--,---,555.png",2023-03-06 07:35:00
39,Kyrie,Rolf,Noenne,XBianca,AToria,Bianca,Halbowman,Shield of the Ideal King,Deimos' Bangle,Substitute's Armband,Nevermind,Substitute's Armband,0,0,0,1,1,6,1,1,4,0,0,0,1,1,6,0,0,0,"https://eliya-bot.herokuapp.com/comp/crybaby_shooter-black_wolf_knight-heavenly_one-lady_summoner_xm20-halberd_princess_2halfanv-lady_summoner-axe_0042_raid-shield_0026_storyevent-acce_0018_decay-acce_0022_scollab-sword_0060_raid-acce_0022_scollab@---,005,003,---,005,---.png",2023-03-06 00:04:00
40,VReticia,Magnos,Misogi,XBianca,Nicola,WSuizen,Halbowman,Prometheus Blade,Nevermind,Beast King's Records,Deimos' Bangle,Beast King's Records,6,6,6,0,0,0,0,0,0,6,6,6,6,6,6,6,6,0,"https://eliya-bot.herokuapp.com/comp/tsundere_bountyhunter_vt22-lion_swordman_playable-misogi-lady_summoner_xm20-sorceress_teacher-onmyoji_boy_wt21-axe_0042_raid-sword_0012-sword_0060_raid-book_0037_storyevent-acce_0018_decay-book_0037_storyevent@555,---,---,555,555,55-.png",2023-03-04 07:01:00
41,Yae,Kokkoro,Silence Suzuka,Estariel,Zephyr,Nevia,Death's Axe,Aero Bone Shield,Trident of Celestial Fortune,Aero Bone Shield,Hanihayha,Aero Bone Shield,0,0,0,6,6,0,0,0,0,6,6,6,0,0,0,6,6,6,"https://eliya-bot.herokuapp.com/comp/psychic_gal-kokkoro-silence_suzuka-elf_princess-asymmetry_birdgirl-beast_shaman-axe_0018_boss_unique-shield_0025_boss_unique-spear_0028_score-shield_0025_boss_unique-gun_0018_haniwa-shield_0025_boss_unique@---,55-,---,555,---,555.png",2023-03-03 07:40:00
42,Silence Suzuka,Murakumo,Kokkoro,Jester,Nevia,Hartlief,Skoll's Blade,Hanihayha,Aero Bone Shield,Wind Aegis,Hanihayha,Hanihayha,0,0,0,6,6,6,1,1,1,0,0,0,6,6,6,6,6,6,"https://eliya-bot.herokuapp.com/comp/silence_suzuka-katana_ghost-kokkoro-trap_errand-beast_shaman-herbalist-sword_0033_decay-gun_0018_haniwa-shield_0025_boss_unique-shield_0017-gun_0018_haniwa-gun_0018_haniwa@---,555,000,---,555,555.png",2023-03-02 22:22:00
43,Magnos,XBianca,Clarisse,Rolf,Pishika,Yugiri,Halbowman,Shield of the Ideal King,Flamewing Bow,Heatwave Blade,Nevermind,Heatwave Blade,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"https://eliya-bot.herokuapp.com/comp/lion_swordman_playable-lady_summoner_xm20-clarisse-black_wolf_knight-nurse_pirate-yugiri-axe_0042_raid-shield_0026_storyevent-bow_0019_raid-sword_0035-sword_0060_raid-sword_0035@---,555,555,555,555,555.png",2023-03-02 18:11:00
44,Yae,Kokkoro,Zephyr,Nevia,HEstariel,Estariel,Trident of Celestial Fortune,Aero Bone Shield,Death's Axe,Aero Bone Shield,Hanihayha,Wind Aegis,0,0,0,6,6,6,0,0,0,6,6,6,6,6,6,6,6,6,"https://eliya-bot.herokuapp.com/comp/psychic_gal-kokkoro-asymmetry_birdgirl-beast_shaman-elf_princess_1halfanv-elf_princess-spear_0028_score-shield_0025_boss_unique-axe_0018_boss_unique-shield_0025_boss_unique-gun_0018_haniwa-shield_0017@---,555,---,555,555,555.png",2023-03-02 08:49:00
45,HKeira,SBulleta,Elmelissa,Beaucy,Renoir,Sha Suzu,Aegaeon's Axe,Thor's Hammer,Ancestral Staff,Big Ogre's Axe,Hanihagama,Big Ogre's Axe,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,6,6,6,"https://eliya-bot.herokuapp.com/comp/palpebra_knight_lady_hw22-combat_soldier_smr22-marching_rival-heavenly_two-fox_scientist-student_gunsmith-axe_0025_decay-axe_0009-spear_0023_boss_unique-axe_0022_storyevent-axe_0038_haniwa-axe_0022_storyevent@---,---,---,555,---,555.png",2023-03-02 05:25:00
46,VReticia,Reticia,AMarina,Nicola,Runetta,XBianca,Halbowman,Prometheus Blade,Deimos' Bangle,Prometheus Blade,Nevermind,Prometheus Blade,6,6,6,0,0,0,6,6,6,6,6,6,0,0,0,6,6,6,"https://eliya-bot.herokuapp.com/comp/tsundere_bountyhunter_vt22-tsundere_bountyhunter-pirates_girl_2anv-sorceress_teacher-flame_blessgirl-lady_summoner_xm20-axe_0042_raid-sword_0012-acce_0018_decay-sword_0012-sword_0060_raid-sword_0012@555,---,555,555,---,555.png",2023-03-01 03:12:00
47,AMarina,Magnos,Pishika,Nicola,Runetta,XBianca,Halbowman,Prometheus Blade,Deimos' Bangle,Prometheus Blade,Nevermind,Deimos' Bangle,6,6,6,0,0,0,1,1,1,6,6,6,0,0,0,6,6,6,"https://eliya-bot.herokuapp.com/comp/pirates_girl_2anv-lion_swordman_playable-nurse_pirate-sorceress_teacher-flame_blessgirl-lady_summoner_xm20-axe_0042_raid-sword_0012-acce_0018_decay-sword_0012-sword_0060_raid-acce_0018_decay@555,---,000,555,---,555.png",2023-03-01 00:38:00
48,VReticia,Toria,AMarina,Rolf,Runetta,XBianca,Halbowman,Exploder,Deimos' Bangle,Beast King's Records,Nevermind,Beast King's Records,6,6,6,1,1,1,6,6,6,6,6,6,1,1,1,6,6,6,"https://eliya-bot.herokuapp.com/comp/tsundere_bountyhunter_vt22-halberd_princess-pirates_girl_2anv-black_wolf_knight-flame_blessgirl-lady_summoner_xm20-axe_0042_raid-staff_0038_KCollab-acce_0018_decay-book_0037_storyevent-sword_0060_raid-book_0037_storyevent@555,000,555,555,000,555.png",2023-02-28 21:30:00
49,Nirjana,Bryce,Yukariko,Couette,ACouette,XArum,Grief Scythe,Nakigitsune Staff,Darkbane Gun,24/7,Nakigitsune Staff,24/7,0,0,0,6,1,6,0,0,0,6,6,6,6,6,6,6,6,6,"https://eliya-bot.herokuapp.com/comp/rector_sorcerer_playable-crazy_doctor-psychic_yamikawa-summoner_little-summoner_little_2anv-devil_princess_xm20-axe_0037-staff_0029_boss_unique-gun_0006_raid-staff_rare5_24_7-staff_0029_boss_unique-staff_rare5_24_7@---,505,---,555,555,555.png",2023-02-28 15:16:00
